date,value
2000-12-15,15162
2000-12-16,13008
2000-12-17,14168
2000-12-18,15022
2000-12-19,15523
2000-12-20,15601
2000-12-21,15564
2000-12-22,15826
2000-12-23,13773
2000-12-24,12685
2000-12-25,12745
2000-12-26,14481
2000-12-27,15506
2000-12-28,15646
2000-12-29,15392
2000-12-30,11785
2000-12-31,12730
2001-01-01,14891
2001-01-02,16906
2001-01-03,16998
2001-01-04,17096
2001-01-05,16699
2001-01-06,14914
2001-01-07,16370
2001-01-08,16985
2001-01-09,16940
2001-01-10,16774
2001-01-11,16787
2001-01-12,16893
2001-01-13,15020
2001-01-14,16319
2001-01-15,16846
2001-01-16,16863
2001-01-17,17029
2001-01-18,16648
2001-01-19,16836
2001-01-20,14427
2001-01-21,15473
2001-01-22,17106
2001-01-23,17044
2001-01-24,17133
2001-01-25,17075
2001-01-26,16964
2001-01-27,14825
2001-01-28,16174
2001-01-29,16368
2001-01-30,16653
2001-01-31,16993
2001-02-01,17153
2001-02-02,17138
2001-02-03,15022
2001-02-04,16327
2001-02-05,15874
2001-02-06,16676
2001-02-07,16748
2001-02-08,16893
2001-02-09,16487
2001-02-10,14835
2001-02-11,16267
2001-02-12,16924
2001-02-13,16666
2001-02-14,16491
2001-02-15,16937
2001-02-16,17084
2001-02-17,14945
2001-02-18,16268
2001-02-19,17049
2001-02-20,17040
2001-02-21,17131
2001-02-22,16679
2001-02-23,16989
2001-02-24,14657
2001-02-25,15669
2001-02-26,17041
2001-02-27,16821
2001-02-28,16565
2001-03-01,17051
2001-03-02,17126
2001-03-03,15055
2001-03-04,15845
2001-03-05,14749
2001-03-06,15494
2001-03-07,17111
2001-03-08,17163
2001-03-09,17133
2001-03-10,15145
2001-03-11,16518
2001-03-12,16993
2001-03-13,16968
2001-03-14,17120
2001-03-15,17138
2001-03-16,17115
2001-03-17,15159
2001-03-18,16549
2001-03-19,17235
2001-03-20,16923
2001-03-21,16836
2001-03-22,16998
2001-03-23,17231
2001-03-24,15227
2001-03-25,16577
2001-03-26,17148
2001-03-27,17198
2001-03-28,17324
2001-03-29,17228
2001-03-30,16943
2001-03-31,14943
2001-04-01,16425
2001-04-02,17208
2001-04-03,17136
2001-04-04,17113
2001-04-05,17112
2001-04-06,17014
2001-04-07,15014
2001-04-08,16429
2001-04-09,16950
2001-04-10,16974
2001-04-11,16022
2001-04-12,16956
2001-04-13,17025
2001-04-14,15041
2001-04-15,16313
2001-04-16,17296
2001-04-17,17330
2001-04-18,17260
2001-04-19,17407
2001-04-20,17364
2001-04-21,15158
2001-04-22,16476
2001-04-23,17193
2001-04-24,17284
2001-04-25,17349
2001-04-26,17359
2001-04-27,17404
2001-04-28,15221
2001-04-29,16601
2001-04-30,17339
2001-05-01,17243
2001-05-02,17290
2001-05-03,17348
2001-05-04,17262
2001-05-05,15257
2001-05-06,16626
2001-05-07,17182
2001-05-08,17294
2001-05-09,17321
2001-05-10,17380
2001-05-11,17356
2001-05-12,15300
2001-05-13,16552
2001-05-14,17195
2001-05-15,17162
2001-05-16,17257
2001-05-17,17349
2001-05-18,17416
2001-05-19,15242
2001-05-20,16661
2001-05-21,17164
2001-05-22,16795
2001-05-23,17189
2001-05-24,17350
2001-05-25,17455
2001-05-26,14375
2001-05-27,14321
2001-05-28,16242
2001-05-29,17388
2001-05-30,17310
2001-05-31,17206
2001-06-01,17275
2001-06-02,15328
2001-06-03,16468
2001-06-04,17147
2001-06-05,16912
2001-06-06,16850
2001-06-07,17313
2001-06-08,17370
2001-06-09,14854
2001-06-10,16772
2001-06-11,17256
2001-06-12,17006
2001-06-13,17063
2001-06-14,16967
2001-06-15,16579
2001-06-16,15577
2001-06-17,16662
2001-06-18,17459
2001-06-19,17415
2001-06-20,17048
2001-06-21,17167
2001-06-22,16642
2001-06-23,15564
2001-06-24,16896
2001-06-25,17437
2001-06-26,17420
2001-06-27,17415
2001-06-28,17491
2001-06-29,17603
2001-06-30,15765
2001-07-01,15956
2001-07-02,16884
2001-07-03,16689
2001-07-04,15361
2001-07-05,17024
2001-07-06,17215
2001-07-07,16052
2001-07-08,16956
2001-07-09,17507
2001-07-10,17134
2001-07-11,17394
2001-07-12,17532
2001-07-13,17618
2001-07-14,15995
2001-07-15,17009
2001-07-16,17508
2001-07-17,17353
2001-07-18,17358
2001-07-19,17516
2001-07-20,17597
2001-07-21,15900
2001-07-22,16834
2001-07-23,17183
2001-07-24,17376
2001-07-25,17398
2001-07-26,17319
2001-07-27,17607
2001-07-28,16049
2001-07-29,16906
2001-07-30,17379
2001-07-31,17545
2001-08-01,17595
2001-08-02,17184
2001-08-03,17512
2001-08-04,15918
2001-08-05,16974
2001-08-06,17581
2001-08-07,17479
2001-08-08,17524
2001-08-09,17404
2001-08-10,16884
2001-08-11,15730
2001-08-12,16766
2001-08-13,17060
2001-08-14,17506
2001-08-15,17519
2001-08-16,17564
2001-08-17,17377
2001-08-18,15915
2001-08-19,17006
2001-08-20,17475
2001-08-21,17435
2001-08-22,17113
2001-08-23,17496
2001-08-24,17589
2001-08-25,15844
2001-08-26,16978
2001-08-27,17213
2001-08-28,17166
2001-08-29,17556
2001-08-30,17402
2001-08-31,17268
2001-09-01,14461
2001-09-02,14210
2001-09-03,16660
2001-09-04,17225
2001-09-05,17325
2001-09-06,17330
2001-09-07,17078
2001-09-08,15322
2001-09-09,16522
2001-09-10,16905
2001-09-11,2541
2001-09-12,1
2001-09-13,1445
2001-09-14,7745
2001-09-15,9634
2001-09-16,12243
2001-09-17,13708
2001-09-18,13799
2001-09-19,14321
2001-09-20,14249
2001-09-21,14229
2001-09-22,12431
2001-09-23,13852
2001-09-24,14303
2001-09-25,14325
2001-09-26,14355
2001-09-27,14393
2001-09-28,14436
2001-09-29,12596
2001-09-30,13730
2001-10-01,14372
2001-10-02,14415
2001-10-03,14397
2001-10-04,14589
2001-10-05,14510
2001-10-06,12810
2001-10-07,13863
2001-10-08,14431
2001-10-09,14419
2001-10-10,14339
2001-10-11,14366
2001-10-12,14283
2001-10-13,12637
2001-10-14,13851
2001-10-15,14433
2001-10-16,14413
2001-10-17,14439
2001-10-18,14487
2001-10-19,14515
2001-10-20,12806
2001-10-21,13888
2001-10-22,14436
2001-10-23,14342
2001-10-24,14054
2001-10-25,14294
2001-10-26,14470
2001-10-27,12669
2001-10-28,13750
2001-10-29,14433
2001-10-30,14273
2001-10-31,13962
2001-11-01,14100
2001-11-02,14232
2001-11-03,12677
2001-11-04,13690
2001-11-05,14324
2001-11-06,14351
2001-11-07,14368
2001-11-08,14411
2001-11-09,14440
2001-11-10,12744
2001-11-11,13711
2001-11-12,13902
2001-11-13,14330
2001-11-14,14378
2001-11-15,14364
2001-11-16,13971
2001-11-17,12547
2001-11-18,13659
2001-11-19,14280
2001-11-20,14404
2001-11-21,14451
2001-11-22,10967
2001-11-23,11048
2001-11-24,12568
2001-11-25,13864
2001-11-26,14395
2001-11-27,14366
2001-11-28,13838
2001-11-29,14213
2001-11-30,14296
2001-12-01,12415
2001-12-02,13459
2001-12-03,14275
2001-12-04,14214
2001-12-05,14268
2001-12-06,14312
2001-12-07,14341
2001-12-08,12641
2001-12-09,13618
2001-12-10,14252
2001-12-11,14215
2001-12-12,14141
2001-12-13,14201
2001-12-14,14242
2001-12-15,12594
2001-12-16,13593
2001-12-17,14374
2001-12-18,14352
2001-12-19,14518
2001-12-20,14582
2001-12-21,14667
2001-12-22,12949
2001-12-23,13254
2001-12-24,11864
2001-12-25,12041
2001-12-26,14419
2001-12-27,14429
2001-12-28,14344
2001-12-29,12780
2001-12-30,13243
2001-12-31,12939
2002-01-01,13235
2002-01-02,13934
2002-01-03,13556
2002-01-04,14197
2002-01-05,12594
2002-01-06,13591
2002-01-07,14193
2002-01-08,14305
2002-01-09,14336
2002-01-10,14396
2002-01-11,14390
2002-01-12,12479
2002-01-13,13506
2002-01-14,14339
2002-01-15,14266
2002-01-16,14128
2002-01-17,14335
2002-01-18,14400
2002-01-19,12248
2002-01-20,13474
2002-01-21,14360
2002-01-22,14253
2002-01-23,14238
2002-01-24,14153
2002-01-25,14389
2002-01-26,12505
2002-01-27,13528
2002-01-28,14284
2002-01-29,14245
2002-01-30,13812
2002-01-31,13366
2002-02-01,14221
2002-02-02,12507
2002-02-03,13614
2002-02-04,14407
2002-02-05,13818
2002-02-06,13954
2002-02-07,14446
2002-02-08,14451
2002-02-09,12528
2002-02-10,13719
2002-02-11,14465
2002-02-12,14407
2002-02-13,14534
2002-02-14,14678
2002-02-15,14713
2002-02-16,12716
2002-02-17,13864
2002-02-18,14682
2002-02-19,14544
2002-02-20,14607
2002-02-21,14662
2002-02-22,14735
2002-02-23,12735
2002-02-24,13871
2002-02-25,14665
2002-02-26,14366
2002-02-27,14604
2002-02-28,14699
2002-03-01,14684
2002-03-02,12049
2002-03-03,13881
2002-03-04,14682
2002-03-05,14703
2002-03-06,14771
2002-03-07,14842
2002-03-08,14766
2002-03-09,12508
2002-03-10,13945
2002-03-11,14815
2002-03-12,14600
2002-03-13,14728
2002-03-14,14604
2002-03-15,14805
2002-03-16,12838
2002-03-17,14012
2002-03-18,14737
2002-03-19,14305
2002-03-20,14649
2002-03-21,14852
2002-03-22,14871
2002-03-23,12890
2002-03-24,14068
2002-03-25,14771
2002-03-26,14575
2002-03-27,14746
2002-03-28,14890
2002-03-29,14761
2002-03-30,12701
2002-03-31,13814
2002-04-01,14731
2002-04-02,14608
2002-04-03,14756
2002-04-04,14758
2002-04-05,14849
2002-04-06,12805
2002-04-07,13735
2002-04-08,14792
2002-04-09,14859
2002-04-10,14914
2002-04-11,14907
2002-04-12,14925
2002-04-13,12868
2002-04-14,14111
2002-04-15,14823
2002-04-16,14747
2002-04-17,14854
2002-04-18,14843
2002-04-19,14610
2002-04-20,12895
2002-04-21,14095
2002-04-22,14929
2002-04-23,14904
2002-04-24,14833
2002-04-25,14937
2002-04-26,14924
2002-04-27,12895
2002-04-28,13923
2002-04-29,14918
2002-04-30,14880
2002-05-01,14854
2002-05-02,14643
2002-05-03,14717
2002-05-04,12812
2002-05-05,14051
2002-05-06,14798
2002-05-07,14706
2002-05-08,14732
2002-05-09,14752
2002-05-10,14915
2002-05-11,12837
2002-05-12,13932
2002-05-13,14625
2002-05-14,14814
2002-05-15,14832
2002-05-16,14915
2002-05-17,14793
2002-05-18,12886
2002-05-19,14112
2002-05-20,14942
2002-05-21,14866
2002-05-22,14893
2002-05-23,14977
2002-05-24,14995
2002-05-25,12443
2002-05-26,12355
2002-05-27,14034
2002-05-28,14863
2002-05-29,14857
2002-05-30,14868
2002-05-31,14785
2002-06-01,12885
2002-06-02,14187
2002-06-03,14847
2002-06-04,14247
2002-06-05,14604
2002-06-06,14744
2002-06-07,15174
2002-06-08,13317
2002-06-09,14603
2002-06-10,15014
2002-06-11,14820
2002-06-12,15165
2002-06-13,15110
2002-06-14,15234
2002-06-15,13617
2002-06-16,14722
2002-06-17,15266
2002-06-18,15253
2002-06-19,15191
2002-06-20,15331
2002-06-21,15155
2002-06-22,13660
2002-06-23,14760
2002-06-24,15266
2002-06-25,15025
2002-06-26,14901
2002-06-27,14721
2002-06-28,15309
2002-06-29,13762
2002-06-30,14777
2002-07-01,15248
2002-07-02,15114
2002-07-03,15285
2002-07-04,12636
2002-07-05,12947
2002-07-06,13668
2002-07-07,14817
2002-07-08,15369
2002-07-09,15224
2002-07-10,15170
2002-07-11,15321
2002-07-12,15338
2002-07-13,13667
2002-07-14,14573
2002-07-15,15247
2002-07-16,15287
2002-07-17,15305
2002-07-18,15307
2002-07-19,15128
2002-07-20,13755
2002-07-21,14789
2002-07-22,15199
2002-07-23,14672
2002-07-24,15174
2002-07-25,15374
2002-07-26,15370
2002-07-27,13712
2002-07-28,14788
2002-07-29,15167
2002-07-30,15305
2002-07-31,15357
2002-08-01,15317
2002-08-02,15222
2002-08-03,13698
2002-08-04,14686
2002-08-05,15222
2002-08-06,15199
2002-08-07,15293
2002-08-08,15340
2002-08-09,15400
2002-08-10,13654
2002-08-11,14767
2002-08-12,15289
2002-08-13,14898
2002-08-14,15159
2002-08-15,15289
2002-08-16,15142
2002-08-17,13701
2002-08-18,14719
2002-08-19,15208
2002-08-20,15281
2002-08-21,15285
2002-08-22,15080
2002-08-23,15257
2002-08-24,13726
2002-08-25,14694
2002-08-26,15307
2002-08-27,15123
2002-08-28,15232
2002-08-29,15265
2002-08-30,15378
2002-08-31,12594
2002-09-01,12210
2002-09-02,14295
2002-09-03,15034
2002-09-04,14965
2002-09-05,14877
2002-09-06,14919
2002-09-07,12943
2002-09-08,14119
2002-09-09,14768
2002-09-10,13618
2002-09-11,12691
2002-09-12,14491
2002-09-13,14777
2002-09-14,12816
2002-09-15,14070
2002-09-16,14804
2002-09-17,14717
2002-09-18,14795
2002-09-19,14627
2002-09-20,14736
2002-09-21,12874
2002-09-22,14059
2002-09-23,14730
2002-09-24,14669
2002-09-25,14588
2002-09-26,14682
2002-09-27,14796
2002-09-28,12814
2002-09-29,14073
2002-09-30,14753
2002-10-01,14634
2002-10-02,14665
2002-10-03,14458
2002-10-04,14567
2002-10-05,12726
2002-10-06,13971
2002-10-07,14581
2002-10-08,14580
2002-10-09,14596
2002-10-10,14708
2002-10-11,14691
2002-10-12,12718
2002-10-13,14004
2002-10-14,14727
2002-10-15,14592
2002-10-16,14461
2002-10-17,14639
2002-10-18,14604
2002-10-19,12666
2002-10-20,14004
2002-10-21,14585
2002-10-22,14583
2002-10-23,14601
2002-10-24,14620
2002-10-25,14648
2002-10-26,12570
2002-10-27,13787
2002-10-28,14572
2002-10-29,14464
2002-10-30,14549
2002-10-31,14470
2002-11-01,14425
2002-11-02,12423
2002-11-03,13650
2002-11-04,14467
2002-11-05,14147
2002-11-06,14301
2002-11-07,14447
2002-11-08,14471
2002-11-09,12465
2002-11-10,13551
2002-11-11,14387
2002-11-12,14276
2002-11-13,14405
2002-11-14,14449
2002-11-15,14492
2002-11-16,12397
2002-11-17,13629
2002-11-18,14453
2002-11-19,14348
2002-11-20,14394
2002-11-21,14399
2002-11-22,14494
2002-11-23,12448
2002-11-24,13660
2002-11-25,14492
2002-11-26,14437
2002-11-27,14518
2002-11-28,10236
2002-11-29,10756
2002-11-30,12332
2002-12-01,13895
2002-12-02,14158
2002-12-03,13991
2002-12-04,13832
2002-12-05,12813
2002-12-06,14138
2002-12-07,12011
2002-12-08,13444
2002-12-09,14271
2002-12-10,13955
2002-12-11,13926
2002-12-12,14260
2002-12-13,14248
2002-12-14,12100
2002-12-15,13470
2002-12-16,14249
2002-12-17,14104
2002-12-18,14161
2002-12-19,14494
2002-12-20,14565
2002-12-21,12464
2002-12-22,13664
2002-12-23,14225
2002-12-24,11654
2002-12-25,11244
2002-12-26,13962
2002-12-27,14390
2002-12-28,12333
2002-12-29,13575
2002-12-30,13876
2002-12-31,12297
2003-01-01,16012
2003-01-02,18279
2003-01-03,18488
2003-01-04,15919
2003-01-05,17404
2003-01-06,18273
2003-01-07,17959
2003-01-08,17934
2003-01-09,18001
2003-01-10,18274
2003-01-11,15426
2003-01-12,16984
2003-01-13,18249
2003-01-14,17862
2003-01-15,17962
2003-01-16,18112
2003-01-17,18206
2003-01-18,15079
2003-01-19,16964
2003-01-20,18243
2003-01-21,17973
2003-01-22,17835
2003-01-23,18090
2003-01-24,18259
2003-01-25,15074
2003-01-26,17004
2003-01-27,18258
2003-01-28,17670
2003-01-29,17759
2003-01-30,18140
2003-01-31,18076
2003-02-01,14974
2003-02-02,16821
